product_id,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_date,review_word_count
B00ILDJWDO,4.0,3.0,4.0,0,1,2015-08-31,64
B00I8BIKXW,5.0,0.0,0.0,0,1,2015-08-31,3
B00NQQTXP8,3.0,0.0,0.0,0,1,2015-08-31,40
B00MYL9H52,5.0,0.0,0.0,0,1,2015-08-31,12
B00B28GVLG,2.0,0.0,1.0,0,1,2015-08-31,40
B00B28IQ50,5.0,0.0,0.0,0,1,2015-08-31,13
B00N1Q5WYO,5.0,0.0,0.0,0,0,2015-08-31,83
B00IQ8MVH8,3.0,0.0,1.0,0,1,2015-08-31,1
B00CXVNXEO,5.0,0.0,0.0,0,1,2015-08-31,13
B00AHAJGXK,5.0,0.0,0.0,0,1,2015-08-31,14
B008ZB5E2K,5.0,0.0,0.0,0,1,2015-08-31,22
B00IFWSMO6,1.0,2.0,2.0,0,1,2015-08-31,62
B00BBLI5CC,5.0,0.0,0.0,0,1,2015-08-31,1
B000FSIJ0K,5.0,0.0,0.0,0,1,2015-08-31,8
B0039S7NO6,5.0,0.0,0.0,0,1,2015-08-31,12
B00CRZXV3O,1.0,1.0,2.0,0,1,2015-08-31,11
B00N1Q5WLW,4.0,0.0,1.0,0,1,2015-08-31,8
1223063151,5.0,0.0,0.0,0,1,2015-08-31,35
B009F7OXCA,5.0,0.0,0.0,0,1,2015-08-31,11
B00ILDJWDO,5.0,0.0,0.0,0,1,2015-08-31,7
1223063151,4.0,0.0,0.0,0,1,2015-08-31,26
B00IVFCRE8,5.0,0.0,0.0,0,1,2015-08-31,1
B0083TXWXC,4.0,0.0,0.0,0,1,2015-08-31,11
B00IWPJWJU,5.0,0.0,0.0,0,1,2015-08-31,4
B00LD6KJXI,5.0,0.0,0.0,0,1,2015-08-31,6
B00IL7IFP6,5.0,0.0,0.0,0,1,2015-08-31,38
B006CBZW90,5.0,0.0,0.0,0,1,2015-08-31,22
B009F7OXCA,5.0,0.0,0.0,0,1,2015-08-31,42
B00D38UBJ6,4.0,0.0,1.0,0,1,2015-08-31,406
B00BQYQY8Q,4.0,0.0,0.0,0,1,2015-08-31,7
B000GUEXBG,5.0,0.0,0.0,0,1,2015-08-31,22
B00ARQW0NW,5.0,0.0,0.0,0,0,2015-08-31,2
B00TDP7KKQ,5.0,0.0,0.0,1,0,2015-08-31,32
B004Q2Q0RU,5.0,0.0,0.0,0,1,2015-08-31,5
B00B2HH10M,5.0,0.0,0.0,0,1,2015-08-31,18
B007J3F9W0,5.0,0.0,0.0,0,1,2015-08-31,33
B008D9MT68,5.0,4.0,4.0,0,1,2015-08-31,52
B00IHHLMBE,5.0,0.0,0.0,0,1,2015-08-31,3
B008J3Q7CA,5.0,0.0,0.0,0,1,2015-08-31,1
B00NSB56WK,5.0,0.0,0.0,0,1,2015-08-31,13
B00CI6JB6I,5.0,0.0,0.0,0,1,2015-08-31,1
B00K77WBJO,2.0,0.0,0.0,0,1,2015-08-31,50
B00H9DI8YG,5.0,0.0,0.0,0,1,2015-08-31,13
B00IVFCPYU,5.0,0.0,0.0,0,1,2015-08-31,5
B00BN6QAVI,5.0,0.0,0.0,0,1,2015-08-31,38
B00IVLIC28,5.0,0.0,0.0,0,1,2015-08-31,10
B007J3F98O,2.0,0.0,0.0,0,1,2015-08-31,9
B00IVFCPYU,5.0,0.0,0.0,0,1,2015-08-31,2
B00J2NPEHK,5.0,0.0,0.0,0,1,2015-08-31,6
B00BM2V522,5.0,0.0,0.0,0,0,2015-08-31,67
B004Z7H07K,3.0,0.0,0.0,0,1,2015-08-31,64
B00N1Q5WYO,5.0,0.0,0.0,0,1,2015-08-31,4
B0039S7NO6,5.0,0.0,0.0,0,1,2015-08-31,6
B00CRZXV3O,5.0,0.0,1.0,0,1,2015-08-31,3
B0075XNGGK,3.0,0.0,0.0,0,1,2015-08-31,8
B00IL7IGIW,5.0,0.0,0.0,0,1,2015-08-31,35
B00CNNPPV6,5.0,0.0,0.0,0,1,2015-08-31,1
B00CJO90ZG,1.0,0.0,5.0,0,1,2015-08-31,6
B00CKH9URU,3.0,0.0,0.0,0,1,2015-08-31,25
B00IQ8MVH8,5.0,0.0,0.0,0,1,2015-08-31,5
B00ER6N5ZK,5.0,0.0,0.0,0,1,2015-08-31,5
B00112CHCK,5.0,0.0,0.0,0,1,2015-08-31,5
B006YKE6D2,4.0,0.0,0.0,0,1,2015-08-31,4
B00112CHCK,5.0,0.0,0.0,0,1,2015-08-31,7
B00IVFCRE8,5.0,0.0,0.0,0,1,2015-08-31,5
B00ARQW0NW,1.0,0.0,0.0,0,1,2015-08-31,34
B002JSM3KQ,3.0,0.0,0.0,0,1,2015-08-31,15
B0039S7NO6,5.0,0.0,0.0,0,1,2015-08-31,7
B00J49UTZO,5.0,0.0,0.0,0,1,2015-08-31,36
B00CI6J3HA,5.0,0.0,0.0,0,1,2015-08-31,1
B00KJB0JUG,5.0,0.0,0.0,0,1,2015-08-31,5
B00ECV4YRS,5.0,0.0,0.0,0,1,2015-08-31,6
B00KR2Q3E8,5.0,0.0,1.0,0,1,2015-08-31,7
B000G334Z4,5.0,0.0,0.0,0,1,2015-08-31,8
B0075XNGGK,5.0,0.0,0.0,0,1,2015-08-31,13
B00BQYR110,5.0,0.0,0.0,0,1,2015-08-31,49
B00FAQW0MK,4.0,0.0,1.0,0,1,2015-08-31,107
B00IVFCRP2,5.0,0.0,0.0,0,1,2015-08-31,5
B007X93IZ0,5.0,0.0,0.0,0,1,2015-08-31,187
B00EVQJ4W4,3.0,0.0,0.0,0,1,2015-08-31,43
B00IKFZ5TS,5.0,0.0,0.0,0,1,2015-08-31,14
B0039S7NO6,5.0,0.0,0.0,0,1,2015-08-31,5
B00IM2TVX0,1.0,0.0,0.0,0,1,2015-08-31,90
B00CJO90ZG,5.0,0.0,0.0,0,1,2015-08-31,7
B00EAHXYDO,5.0,0.0,0.0,0,1,2015-08-30,7
B00IDB6J0S,5.0,1.0,1.0,0,1,2015-08-30,41
B0039S7NO6,3.0,0.0,0.0,0,1,2015-08-30,22
B00B28GVLG,5.0,0.0,0.0,0,1,2015-08-30,17
B0049ACJVA,5.0,0.0,0.0,0,1,2015-08-30,5
B0077NCEWA,5.0,0.0,0.0,0,1,2015-08-30,10
B002JSM3KQ,5.0,0.0,1.0,0,1,2015-08-30,169
B00FY2P7IY,3.0,0.0,0.0,0,1,2015-08-30,84
B00J5KVTBK,3.0,0.0,0.0,0,1,2015-08-30,31
B00TDP7KKQ,5.0,0.0,0.0,0,1,2015-08-30,4
B00D38UBJ6,1.0,0.0,0.0,0,0,2015-08-30,17
B00IQ8MVH8,5.0,0.0,0.0,0,1,2015-08-30,2
B004P98QGC,5.0,0.0,0.0,0,1,2015-08-30,4
B00CKH9I1I,4.0,0.0,0.0,0,1,2015-08-30,2
B004ORWXFA,1.0,0.0,0.0,0,1,2015-08-30,5
B00G6MWM1Q,5.0,2.0,3.0,0,1,2015-08-30,34
B00P4CEUPA,4.0,0.0,0.0,0,1,2015-08-30,15
B00BQYR110,5.0,0.0,0.0,0,1,2015-08-30,79
B00KR2Q3HU,5.0,0.0,0.0,0,0,2015-08-30,9
B00IGNWYGQ,4.0,0.0,0.0,0,1,2015-08-30,48
B00EAHXYDO,5.0,0.0,0.0,0,1,2015-08-30,7
B003AIM52A,4.0,0.0,0.0,0,1,2015-08-30,33
1603800859,3.0,1.0,1.0,0,1,2015-08-30,4
B00IGNWZC4,5.0,0.0,0.0,0,1,2015-08-30,2
B00LK0N1ZK,5.0,0.0,0.0,0,1,2015-08-30,20
B00JLHVX36,2.0,0.0,0.0,0,1,2015-08-30,12
B00IFWSNJK,5.0,0.0,0.0,0,1,2015-08-30,38
B00IGR5EQE,5.0,0.0,0.0,0,1,2015-08-30,9
B00CDGA68U,5.0,1.0,1.0,0,1,2015-08-30,28
B00KR2Q3E8,5.0,0.0,0.0,0,0,2015-08-30,13
B007XPLI2E,3.0,0.0,0.0,0,1,2015-08-30,38
B00AJE1CY0,5.0,0.0,0.0,0,1,2015-08-30,5
B00IL7IFP6,5.0,0.0,0.0,0,1,2015-08-30,6
B00EVTF3OO,5.0,0.0,0.0,0,1,2015-08-30,2
B0039S7NO6,5.0,0.0,0.0,0,1,2015-08-30,18
B00EVTF3OO,5.0,0.0,0.0,0,1,2015-08-30,2
B00J49UU5I,5.0,0.0,1.0,0,1,2015-08-30,47
B004P971VI,5.0,0.0,0.0,0,1,2015-08-30,13
B00AJE1CY0,5.0,0.0,0.0,0,1,2015-08-30,1
B004U53A7Q,5.0,1.0,1.0,0,1,2015-08-30,16
B0039S7NO6,5.0,0.0,0.0,0,1,2015-08-30,14
B00DELN680,4.0,0.0,0.0,0,1,2015-08-30,21
B00INZO30M,5.0,0.0,1.0,0,1,2015-08-30,79
B00IM2TW1Q,2.0,0.0,0.0,0,1,2015-08-30,13
B00C6PYGJ8,5.0,0.0,0.0,0,1,2015-08-30,17
B004X0I8DY,5.0,0.0,0.0,0,1,2015-08-30,1
B00CI6J5JQ,4.0,0.0,0.0,0,1,2015-08-30,18
B00IKFZ5TS,5.0,0.0,0.0,0,1,2015-08-30,4
B005LB9EUA,4.0,0.0,0.0,0,1,2015-08-30,12
B00M1YCDZ8,2.0,0.0,0.0,0,1,2015-08-30,17
B00NYZOHWK,5.0,0.0,0.0,0,1,2015-08-30,13
B00804BDEU,5.0,0.0,0.0,0,1,2015-08-30,3
B004OS8J98,5.0,0.0,0.0,0,1,2015-08-30,32
B00J49UTZO,5.0,0.0,0.0,0,1,2015-08-30,2
B00CDGA69Y,5.0,0.0,0.0,0,1,2015-08-30,3
B004K6KM8A,5.0,0.0,0.0,0,1,2015-08-30,18
B00BN6QAVI,5.0,10.0,11.0,0,1,2015-08-30,200
B00IM8W12M,5.0,4.0,4.0,0,1,2015-08-30,127
B003F7YHXQ,4.0,0.0,1.0,0,1,2015-08-30,15
B00ARQW0M8,4.0,0.0,0.0,0,1,2015-08-30,11
B00NEOBSK0,5.0,2.0,2.0,0,1,2015-08-30,13
B00IM2TVX0,1.0,0.0,0.0,0,0,2015-08-30,35
B002JSM3KQ,5.0,0.0,0.0,0,1,2015-08-30,34
B007X93IZ0,4.0,0.0,0.0,0,1,2015-08-30,28
B00M1YC920,5.0,0.0,0.0,0,1,2015-08-30,19
B00BN6QAXQ,5.0,0.0,0.0,0,1,2015-08-30,6
B00CI6J3HA,5.0,0.0,0.0,0,1,2015-08-30,15
B00J0V11F8,5.0,0.0,0.0,0,1,2015-08-30,10
B000SQTJJO,5.0,0.0,0.0,0,1,2015-08-30,10
B00LH1VIEI,5.0,1.0,1.0,0,0,2015-08-30,9
B000FSIJ0K,5.0,0.0,0.0,0,1,2015-08-30,22
B00CDGA69Y,5.0,0.0,0.0,0,1,2015-08-30,7
B00AHAJGXK,4.0,0.0,0.0,0,1,2015-08-30,15
B00BN6QAWM,5.0,0.0,0.0,0,1,2015-08-30,17
B00B28IQ50,5.0,0.0,0.0,0,1,2015-08-30,11
B00FAQW0MK,5.0,1.0,1.0,0,1,2015-08-30,58
B00ATWUE1O,5.0,0.0,0.0,0,1,2015-08-30,26
B00IM2TVX0,1.0,0.0,0.0,0,0,2015-08-30,56
B006YKE6D2,5.0,0.0,0.0,0,1,2015-08-30,46
B00CS1WDBI,5.0,0.0,0.0,0,1,2015-08-30,9
B0039S7NO6,5.0,0.0,0.0,0,0,2015-08-30,170
